Account					Balance			Expiry Date
3532329577284122983		500		 		05/2023
4917648756499695		32123.3216 		05/2023
6250941006528599		56512.2698 		06/2023
60115564485789458		62979.5434 		12/2023
6011000991300009		76764.4356 		12/2023
3566000020000410		12563.2135 		02/2023
3530111333300000		16216.2135 		03/2023
5425233430109903		42397.7951 		04/2023
4263982640269299		32163.2135 		02/2023
4917484589897107	 	39875.3234		04/2023
4001919257537193	 	43897.2312		02/2023
4007702835532454	 	49857.3434		01/2023
6362970000457013	 	24354.6754		09/2023
6062826786276634	 	23094.0934		10/2023
5011054488597827	 	87867.3454		08/2023	
6271701225979642	 	93479.9837		09/2023
6034932528973614	 	32974.3534		12/2023
5895626746595650	 	43534.7546		03/2023
5200533989557118	 	45254.3465		06/2023
6034883265619896	 	59067.3907		11/2023		
2222420000001113	 	30947.5465		11/2023	
2223000048410010	 	43985.6976		09/2023	
		
